2023-03-12 13:12:23,288 INFO    MainThread:91448 [wandb_setup.py:_flush():76] Configure stats pid to 91448
2023-03-12 13:12:23,289 INFO    MainThread:91448 [wandb_setup.py:_flush():76] Loading settings from /home/student/.config/wandb/settings
2023-03-12 13:12:23,289 INFO    MainThread:91448 [wandb_setup.py:_flush():76] Loading settings from /home/student/cvop_project/wandb/settings
2023-03-12 13:12:23,289 INFO    MainThread:91448 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-12 13:12:23,289 INFO    MainThread:91448 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'model.py', 'program': '/home/student/cvop_project/model.py'}
2023-03-12 13:12:23,289 INFO    MainThread:91448 [wandb_init.py:_log_setup():506] Logging user logs to /home/student/cvop_project/wandb/run-20230312_131223-5oq27ezv/logs/debug.log
2023-03-12 13:12:23,289 INFO    MainThread:91448 [wandb_init.py:_log_setup():507] Logging internal logs to /home/student/cvop_project/wandb/run-20230312_131223-5oq27ezv/logs/debug-internal.log
2023-03-12 13:12:23,289 INFO    MainThread:91448 [wandb_init.py:init():546] calling init triggers
2023-03-12 13:12:23,289 INFO    MainThread:91448 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-03-12 13:12:23,289 INFO    MainThread:91448 [wandb_init.py:init():602] starting backend
2023-03-12 13:12:23,289 INFO    MainThread:91448 [wandb_init.py:init():606] setting up manager
2023-03-12 13:12:23,291 INFO    MainThread:91448 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-12 13:12:23,292 INFO    MainThread:91448 [wandb_init.py:init():613] backend started and connected
2023-03-12 13:12:23,293 INFO    MainThread:91448 [wandb_init.py:init():701] updated telemetry
2023-03-12 13:12:23,294 INFO    MainThread:91448 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-12 13:12:23,561 INFO    MainThread:91448 [wandb_run.py:_on_init():2131] communicating current version
2023-03-12 13:12:23,588 INFO    MainThread:91448 [wandb_run.py:_on_init():2140] got version response 
2023-03-12 13:12:23,588 INFO    MainThread:91448 [wandb_init.py:init():789] starting run threads in backend
2023-03-12 13:12:25,570 INFO    MainThread:91448 [wandb_run.py:_console_start():2112] atexit reg
2023-03-12 13:12:25,571 INFO    MainThread:91448 [wandb_run.py:_redirect():1967] redirect: SettingsConsole.WRAP_RAW
2023-03-12 13:12:25,571 INFO    MainThread:91448 [wandb_run.py:_redirect():2032] Wrapping output streams.
2023-03-12 13:12:25,571 INFO    MainThread:91448 [wandb_run.py:_redirect():2057] Redirects installed.
2023-03-12 13:12:25,571 INFO    MainThread:91448 [wandb_init.py:init():831] run started, returning control to user process
2023-03-12 13:17:24,297 INFO    MainThread:91448 [wandb_watch.py:watch():51] Watching
2023-03-12 13:20:49,563 INFO    MainThread:91448 [wandb_run.py:_finish():1852] finishing run michael_david/uncategorized/5oq27ezv
2023-03-12 13:20:49,563 INFO    MainThread:91448 [wandb_run.py:_atexit_cleanup():2081] got exitcode: 0
2023-03-12 13:20:49,563 INFO    MainThread:91448 [wandb_run.py:_restore():2064] restore
2023-03-12 13:20:49,564 INFO    MainThread:91448 [wandb_run.py:_restore():2070] restore done
